geocell_id,centroid_lat,centroid_lon,count,max_radius_km
0,-11.369369274984848,-77.65231139362614,11,235.30921547873163
1,61.86413540972888,53.21666305217798,7,426.8063853139262
2,-32.27775040958365,132.6045845496876,15,210.7790027953823
3,46.92209623310257,-107.23840515590575,22,171.70405052162266
4,-0.4852561533342719,29.014936470214586,32,247.25200952900724
5,37.710387400981766,13.696824627969065,24,205.97475627629024
6,43.125054458888556,112.11553003524226,13,242.1994027658647
7,-18.598770738853922,-47.962204757687175,15,157.79150996926072
8,15.964132937487737,80.07455709575015,8,160.75257056865107
9,-34.13525257399272,-56.4535385407545,74,175.36110976405868
10,-24.1977498438713,27.78767246883282,43,143.05780906752244
11,-0.4611295856813424,112.5938639063335,6,210.30105867815476
12,36.17982991872923,-95.88960994021089,24,189.54893522508175
13,51.75765395145458,29.872725360657476,21,173.21438659825463
14,47.558481582539024,76.0557426083837,13,219.97558179055358
15,3.0603048475544705,0.5177402217780546,8,256.6877144542817
16,53.21376990376268,-0.9617254532765408,28,162.6349970892394
17,43.0040874416415,10.263207565560254,10,156.72403997185845
18,-36.0437577434312,145.35689195591436,28,199.40420900183798
19,46.01829784893754,-118.66814512420912,32,221.14893096841314
20,59.31014477516345,93.87818315104528,17,359.39474382066544
21,63.842861326677685,18.81185031888767,30,175.732158299333
22,-4.970010416105677,-41.41524967871484,26,238.2607137576622
23,-34.56462986772952,-71.31301964195642,34,147.04329570139268
24,26.48582130778696,80.18076490831663,21,299.2446318133649
25,42.0154261914509,41.75878126468222,28,207.1666963280348
26,-12.202554627812487,132.4162375291502,19,342.91792495875166
27,-9.338004442067485,-134.4502127568473,3,811.3135733173731
28,-8.125879425717104,-57.71518544502945,13,209.79884090959854
29,39.07418924819168,-4.5646032485621255,27,213.25136090457588
30,-3.3383459580538157,53.78677747069332,3,414.48843743926756
31,-30.786678566178452,121.38580448322676,13,167.0359620352839
32,43.16108496900702,-88.18082949816261,23,174.74644946434643
33,32.42346674799174,130.75833526439322,16,231.8623069760016
34,-40.84538544219025,174.53694809532243,25,192.58917144260357
35,-28.741833303656477,150.61921338334676,19,148.25394634292834
36,2.5368977885483868,39.41595385652549,9,203.839439880457
37,45.76422869215549,93.93186887250073,31,250.36774853289157
38,26.050335935583927,-105.39141510670974,18,325.7161460636749
39,-19.11254054415019,142.76464810119754,22,254.20759983877892
40,53.33600682585706,-117.14405173251428,38,201.8645728252732
